"","peel","SSB","F","index","year"
"192",5,46582.4318360496,0.0612093060632703,34,2013
"193",5,59140.4525345713,0.046917976974467,35,2014
"194",5,68061.8123454057,0.0459462851095408,36,2015
"195",5,85223.9203751448,0.033278257389173,37,2016
"196",6,116060.642064821,0.365626843733154,1,1980
"197",6,106877.069234298,0.254146395161362,2,1981
"198",6,84188.5117726125,0.448226563410818,3,1982
"199",6,70909.3318217465,0.543459003882341,4,1983
"200",6,46873.3707258689,0.706835971641092,5,1984
"201",6,35697.8008529762,0.843687055202684,6,1985
"202",6,24962.551649622,0.445142731385196,7,1986
"203",6,21729.3048519167,0.53234211846506,8,1987
"204",6,18514.872236011,0.524116184936058,9,1988
"205",6,16587.0195996024,0.365923474060577,10,1989
"206",6,19604.4864763906,0.435595923144651,11,1990
"207",6,22583.5757839892,0.403506998959464,12,1991
"208",6,28404.7913904374,0.458325012188441,13,1992
"209",6,29868.6708688494,0.506823864931449,14,1993
"210",6,27945.6704698724,0.598175297893528,15,1994
"211",6,32263.5354008479,0.405407376781547,16,1995
"212",6,33708.0926264987,0.292378764050584,17,1996
"213",6,31794.3947262942,0.365274625850886,18,1997
"214",6,33181.8844333416,0.298454027445993,19,1998
"215",6,36777.686349134,0.236242933734989,20,1999
"216",6,50340.1360085602,0.194024564879461,21,2000
"217",6,51763.3405809765,0.236380378514091,22,2001
"218",6,40444.0632663405,0.276026688910429,23,2002
"219",6,28334.9898746446,0.259177192309837,24,2003
"220",6,25006.6958858289,0.251325451362965,25,2004
"221",6,22865.1301912816,0.162475841770272,26,2005
"222",6,25025.271785094,0.17041201415245,27,2006
"223",6,30293.2258534856,0.113661692068661,28,2007
"224",6,40150.7047316196,0.141886440651396,29,2008
"225",6,47291.3979397488,0.131284624205373,30,2009
"226",6,51934.7058071377,0.131533889832692,31,2010
"227",6,56842.8276380978,0.064935453240332,32,2011
"228",6,51663.2658772275,0.0657621175277204,33,2012
"229",6,46381.2734229407,0.0618282836132351,34,2013
"230",6,57935.8768902259,0.0487487772635441,35,2014
"231",6,66063.636135915,0.0504262065859444,36,2015
"232",7,115608.510894593,0.367316606524631,1,1980
"233",7,106155.877448779,0.255470199507255,2,1981
